NUMBER_OF_SALES,NUMBER_OF_UNIQUE_PRODUCTS,NUMBER_OF_STORES,TRANSACTION_DATE,DAY_OF_MONTH,MONTH_NAME,DAY_OF_WEEK,MONTH_ID,TIME_BUCKETS,REVENUE,DAY_CATEGORY
77,45,3,2023-02-19,19,Feb,0,202302,Evening,327.45,Weekday
131,51,3,2023-02-21,21,Feb,2,202302,Afternoon,700.45,Weekday
78,43,3,2023-02-23,23,Feb,4,202302,Evening,361.45,Weekday
338,65,3,2023-02-25,25,Feb,6,202302,Morning,1696.40,Weekday
311,64,3,2023-02-26,26,Feb,0,202302,Morning,1575.10,Weekday
168,55,3,2023-02-27,27,Feb,1,202302,Afternoon,887.70,Weekday
121,48,3,2023-02-28,28,Feb,2,202302,Evening,535.85,Weekday
329,51,3,2023-03-02,2,Mar,4,202303,Afternoon,1467.10,Weekday
344,52,3,2023-03-03,3,Mar,5,202303,Afternoon,1545.60,Weekday
328,52,3,2023-03-04,4,Mar,6,202303,Afternoon,1468.40,Weekday
139,49,3,2023-03-04,4,Mar,6,202303,Evening,603.30,Weekday
297,52,3,2023-03-05,5,Mar,0,202303,Afternoon,1321.50,Weekday
175,51,3,2023-03-05,5,Mar,0,202303,Evening,758.30,Weekday
126,48,3,2023-03-06,6,Mar,1,202303,Evening,566.20,Weekday
388,63,3,2023-03-07,7,Mar,2,202303,Morning,1786.85,Weekday
99,48,2,2023-03-07,7,Mar,2,202303,Evening,427.05,Weekday
414,68,3,2023-03-08,8,Mar,3,202303,Morning,1950.28,Weekday
5,5,1,2023-03-09,9,Mar,4,202303,Night,20.06,Weekday
176,60,3,2023-03-10,10,Mar,5,202303,Afternoon,758.05,Weekday
167,59,3,2023-03-11,11,Mar,6,202303,Afternoon,815.10,Weekday
89,47,3,2023-03-11,11,Mar,6,202303,Evening,393.65,Weekday
100,44,3,2023-03-12,12,Mar,0,202303,Evening,469.90,Weekday
192,64,3,2023-03-13,13,Mar,1,202303,Afternoon,1035.75,Weekday
126,59,3,2023-03-14,14,Mar,2,202303,Afternoon,654.80,Weekday
8,8,1,2023-03-14,14,Mar,2,202303,Night,36.25,Weekday
480,71,3,2023-03-15,15,Mar,3,202303,Morning,2211.00,Weekday
148,56,3,2023-03-17,17,Mar,5,202303,Afternoon,627.85,Weekday
494,74,3,2023-03-18,18,Mar,6,202303,Morning,2290.06,Weekday
169,58,3,2023-03-20,20,Mar,1,202303,Afternoon,773.65,Weekday
417,69,3,2023-03-21,21,Mar,2,202303,Morning,2075.85,Weekday
151,57,3,2023-03-21,21,Mar,2,202303,Afternoon,709.50,Weekday
388,66,3,2023-03-25,25,Mar,6,202303,Morning,1991.05,Weekday
98,47,3,2023-03-25,25,Mar,6,202303,Evening,449.10,Weekday
85,43,3,2023-03-30,30,Mar,4,202303,Evening,363.85,Weekday
398,68,3,2023-03-31,31,Mar,5,202303,Morning,1843.73,Weekday
2,2,1,2023-03-31,31,Mar,5,202303,Night,8.50,Weekday
10,9,1,2023-01-08,8,Jan,0,202301,Night,39.40,Weekday
74,39,3,2023-01-12,12,Jan,4,202301,Evening,343.10,Weekday
138,54,3,2023-01-16,16,Jan,1,202301,Afternoon,587.60,Weekday
136,57,3,2023-01-20,20,Jan,5,202301,Afternoon,654.75,Weekday
266,63,3,2023-01-22,22,Jan,0,202301,Morning,1322.63,Weekday
357,67,3,2023-01-20,20,Jan,5,202301,Morning,1548.15,Weekday
317,65,3,2023-01-23,23,Jan,1,202301,Morning,1589.95,Weekday
85,40,3,2023-01-28,28,Jan,6,202301,Evening,360.35,Weekday
3,3,2,2023-01-30,30,Jan,1,202301,Night,15.00,Weekday
49,30,3,2023-01-31,31,Jan,2,202301,Evening,223.05,Weekday
148,48,3,2023-02-02,2,Feb,4,202302,Morning,674.70,Weekday
296,52,3,2023-02-03,3,Feb,5,202302,Afternoon,1331.80,Weekday
274,52,3,2023-02-04,4,Feb,6,202302,Afternoon,1242.00,Weekday
134,46,3,2023-02-06,6,Feb,1,202302,Morning,580.00,Weekday
120,47,3,2023-02-06,6,Feb,1,202302,Evening,555.50,Weekday
109,51,3,2023-02-07,7,Feb,2,202302,Afternoon,468.05,Weekday
5,4,1,2023-02-08,8,Feb,3,202302,Night,19.65,Weekday
107,50,3,2023-02-09,9,Feb,4,202302,Afternoon,578.11,Weekday
66,41,3,2023-02-10,10,Feb,5,202302,Evening,295.50,Weekday
135,52,3,2023-02-11,11,Feb,6,202302,Afternoon,588.58,Weekday
374,69,3,2023-02-12,12,Feb,0,202302,Morning,1783.85,Weekday
146,56,3,2023-02-12,12,Feb,0,202302,Afternoon,696.90,Weekday
8,8,1,2023-02-13,13,Feb,1,202302,Night,37.80,Weekday
422,72,3,2023-02-14,14,Feb,2,202302,Morning,1889.93,Weekday
88,51,3,2023-02-14,14,Feb,2,202302,Afternoon,431.50,Weekday
66,41,3,2023-02-14,14,Feb,2,202302,Evening,303.25,Weekday
11,9,1,2023-02-14,14,Feb,2,202302,Night,49.25,Weekday
127,53,3,2023-02-15,15,Feb,3,202302,Afternoon,563.30,Weekday
419,71,3,2023-02-16,16,Feb,4,202302,Morning,1992.03,Weekday
70,40,3,2023-02-16,16,Feb,4,202302,Evening,355.60,Weekday
58,34,3,2023-02-17,17,Feb,5,202302,Evening,246.90,Weekday
408,71,3,2023-02-20,20,Feb,1,202302,Morning,1875.35,Weekday
140,57,3,2023-02-20,20,Feb,1,202302,Afternoon,650.95,Weekday
13,10,1,2023-02-20,20,Feb,1,202302,Night,72.25,Weekday
57,33,3,2023-02-21,21,Feb,2,202302,Evening,267.45,Weekday
11,9,1,2023-02-21,21,Feb,2,202302,Night,49.55,Weekday
313,61,3,2023-02-22,22,Feb,3,202302,Morning,1640.60,Weekday
157,56,3,2023-02-23,23,Feb,4,202302,Afternoon,721.90,Weekday
336,65,3,2023-02-24,24,Feb,5,202302,Morning,1650.65,Weekday
192,54,3,2023-02-24,24,Feb,5,202302,Afternoon,932.30,Weekday
75,39,3,2023-02-24,24,Feb,5,202302,Evening,357.75,Weekday
166,58,3,2023-02-25,25,Feb,6,202302,Afternoon,758.35,Weekday
72,44,3,2023-02-25,25,Feb,6,202302,Evening,368.80,Weekday
196,57,3,2023-02-26,26,Feb,0,202302,Afternoon,968.55,Weekday
94,43,3,2023-02-26,26,Feb,0,202302,Evening,413.10,Weekday
391,63,3,2023-02-27,27,Feb,1,202302,Morning,1854.55,Weekday
84,42,3,2023-02-22,22,Feb,3,202302,Evening,390.30,Weekday
92,46,3,2023-02-27,27,Feb,1,202302,Evening,377.20,Weekday
12,12,1,2023-02-27,27,Feb,1,202302,Night,40.55,Weekday
188,50,3,2023-02-28,28,Feb,2,202302,Morning,867.20,Weekday
202,52,3,2023-02-28,28,Feb,2,202302,Afternoon,908.05,Weekday
208,52,3,2023-03-01,1,Mar,3,202303,Morning,969.40,Weekday
158,49,3,2023-03-01,1,Mar,3,202303,Evening,742.50,Weekday
197,50,3,2023-03-03,3,Mar,5,202303,Morning,876.10,Weekday
169,49,3,2023-03-03,3,Mar,5,202303,Evening,733.45,Weekday
157,47,3,2023-03-04,4,Mar,6,202303,Morning,710.20,Weekday
177,49,3,2023-03-06,6,Mar,1,202303,Morning,777.40,Weekday
284,52,3,2023-03-06,6,Mar,1,202303,Afternoon,1274.45,Weekday
132,51,3,2023-03-07,7,Mar,2,202303,Afternoon,549.85,Weekday
10,9,1,2023-03-07,7,Mar,2,202303,Night,39.75,Weekday
198,60,3,2023-03-08,8,Mar,3,202303,Afternoon,927.18,Weekday
124,58,3,2023-03-08,8,Mar,3,202303,Evening,618.95,Weekday
6,6,1,2023-03-08,8,Mar,3,202303,Night,26.85,Weekday
138,56,3,2023-03-09,9,Mar,4,202303,Afternoon,645.76,Weekday
103,53,3,2023-03-09,9,Mar,4,202303,Evening,486.26,Weekday
87,49,3,2023-03-10,10,Mar,5,202303,Evening,421.55,Weekday
433,67,3,2023-03-11,11,Mar,6,202303,Morning,2002.90,Weekday
423,68,3,2023-03-12,12,Mar,0,202303,Morning,1949.78,Weekday
144,57,3,2023-03-12,12,Mar,0,202303,Afternoon,668.65,Weekday
59,39,3,2023-03-13,13,Mar,1,202303,Evening,288.05,Weekday
479,73,3,2023-03-14,14,Mar,2,202303,Morning,2227.51,Weekday
78,45,3,2023-03-14,14,Mar,2,202303,Evening,394.10,Weekday
160,62,3,2023-03-15,15,Mar,3,202303,Afternoon,729.33,Weekday
81,41,3,2023-03-15,15,Mar,3,202303,Evening,397.70,Weekday
497,69,3,2023-03-16,16,Mar,4,202303,Morning,2199.41,Weekday
175,59,3,2023-03-16,16,Mar,4,202303,Afternoon,783.85,Weekday
86,41,3,2023-03-16,16,Mar,4,202303,Evening,402.85,Weekday
485,70,3,2023-03-17,17,Mar,5,202303,Morning,2255.55,Weekday
60,36,3,2023-03-17,17,Mar,5,202303,Evening,298.35,Weekday
176,58,3,2023-03-18,18,Mar,6,202303,Afternoon,816.55,Weekday
61,43,3,2023-03-18,18,Mar,6,202303,Evening,301.75,Weekday
491,72,3,2023-03-19,19,Mar,0,202303,Morning,2292.63,Weekday
160,54,3,2023-03-19,19,Mar,0,202303,Afternoon,669.80,Weekday
74,39,3,2023-03-19,19,Mar,0,202303,Evening,377.60,Weekday
483,72,3,2023-03-20,20,Mar,1,202303,Morning,2127.45,Weekday
76,42,3,2023-03-20,20,Mar,1,202303,Evening,330.03,Weekday
7,7,1,2023-03-20,20,Mar,1,202303,Night,31.15,Weekday
69,41,3,2023-03-21,21,Mar,2,202303,Evening,336.15,Weekday
13,11,1,2023-03-21,21,Mar,2,202303,Night,88.30,Weekday
373,68,3,2023-03-22,22,Mar,3,202303,Morning,1891.68,Weekday
198,55,3,2023-03-22,22,Mar,3,202303,Afternoon,948.58,Weekday
98,48,3,2023-03-22,22,Mar,3,202303,Evening,443.85,Weekday
375,67,3,2023-03-23,23,Mar,4,202303,Morning,1932.43,Weekday
203,55,3,2023-03-23,23,Mar,4,202303,Afternoon,873.55,Weekday
116,49,3,2023-03-23,23,Mar,4,202303,Evening,555.15,Weekday
412,64,3,2023-03-24,24,Mar,5,202303,Morning,2075.40,Weekday
210,57,3,2023-03-24,24,Mar,5,202303,Afternoon,1037.65,Weekday
96,47,3,2023-03-24,24,Mar,5,202303,Evening,473.15,Weekday
202,56,3,2023-03-25,25,Mar,6,202303,Afternoon,940.80,Weekday
392,65,3,2023-03-26,26,Mar,0,202303,Morning,1995.10,Weekday
187,54,3,2023-03-26,26,Mar,0,202303,Afternoon,896.00,Weekday
92,47,3,2023-03-26,26,Mar,0,202303,Evening,419.73,Weekday
440,60,3,2023-03-27,27,Mar,1,202303,Morning,2080.85,Weekday
208,60,3,2023-03-27,27,Mar,1,202303,Afternoon,1078.30,Weekday
108,48,3,2023-03-27,27,Mar,1,202303,Evening,482.50,Weekday
8,7,1,2023-03-27,27,Mar,1,202303,Night,32.70,Weekday
234,51,3,2023-03-28,28,Mar,2,202303,Morning,1067.00,Weekday
262,52,3,2023-03-28,28,Mar,2,202303,Afternoon,1195.55,Weekday
130,50,3,2023-03-28,28,Mar,2,202303,Evening,530.00,Weekday
216,51,3,2023-03-29,29,Mar,3,202303,Morning,901.10,Weekday
250,51,3,2023-03-29,29,Mar,3,202303,Afternoon,1085.95,Weekday
411,64,3,2023-03-30,30,Mar,4,202303,Morning,1885.67,Weekday
140,56,3,2023-03-30,30,Mar,4,202303,Afternoon,671.45,Weekday
3,3,1,2023-03-30,30,Mar,4,202303,Night,11.85,Weekday
131,50,3,2023-03-31,31,Mar,5,202303,Afternoon,638.40,Weekday
84,42,3,2023-03-31,31,Mar,5,202303,Evening,397.45,Weekday
227,52,3,2023-04-01,1,Apr,6,202304,Morning,1020.25,Weekday
186,51,3,2023-04-02,2,Apr,0,202304,Morning,829.45,Weekday
214,52,3,2023-04-02,2,Apr,0,202304,Evening,954.85,Weekday
380,52,3,2023-04-03,3,Apr,1,202304,Afternoon,1681.75,Weekday
186,49,3,2023-04-03,3,Apr,1,202304,Evening,788.10,Weekday
213,49,3,2023-04-04,4,Apr,2,202304,Morning,927.45,Weekday
193,49,3,2023-04-04,4,Apr,2,202304,Evening,846.85,Weekday
256,51,3,2023-04-05,5,Apr,3,202304,Morning,1097.10,Weekday
337,63,3,2023-02-07,7,Feb,2,202302,Morning,1523.50,Weekday
71,41,3,2023-02-15,15,Feb,3,202302,Evening,370.10,Weekday
157,57,3,2023-02-19,19,Feb,0,202302,Afternoon,705.20,Weekday
67,41,3,2023-02-20,20,Feb,1,202302,Evening,285.08,Weekday
356,66,3,2023-02-21,21,Feb,2,202302,Morning,1766.08,Weekday
169,49,3,2023-03-02,2,Mar,4,202303,Morning,748.20,Weekday
175,50,3,2023-03-02,2,Mar,4,202303,Evening,780.75,Weekday
203,50,3,2023-03-05,5,Mar,0,202303,Morning,865.50,Weekday
487,69,3,2023-03-10,10,Mar,5,202303,Morning,2261.98,Weekday
13,13,1,2023-03-13,13,Mar,1,202303,Night,60.65,Weekday
116,45,3,2023-03-29,29,Mar,3,202303,Evening,504.95,Weekday
396,52,3,2023-04-01,1,Apr,6,202304,Afternoon,1731.55,Weekday
207,51,3,2023-04-01,1,Apr,6,202304,Evening,948.10,Weekday
402,52,3,2023-04-02,2,Apr,0,202304,Afternoon,1791.55,Weekday
248,52,3,2023-04-03,3,Apr,1,202304,Morning,1135.10,Weekday
347,52,3,2023-04-04,4,Apr,2,202304,Afternoon,1553.00,Weekday
364,52,3,2023-04-05,5,Apr,3,202304,Afternoon,1599.70,Weekday
194,52,3,2023-04-05,5,Apr,3,202304,Evening,855.90,Weekday
214,49,3,2023-04-06,6,Apr,4,202304,Morning,893.75,Weekday
337,52,3,2023-04-06,6,Apr,4,202304,Afternoon,1535.30,Weekday
188,51,3,2023-04-06,6,Apr,4,202304,Evening,821.15,Weekday
496,64,3,2023-04-07,7,Apr,5,202304,Morning,2360.85,Weekday
185,56,3,2023-04-07,7,Apr,5,202304,Afternoon,797.55,Weekday
107,47,2,2023-04-07,7,Apr,5,202304,Evening,466.55,Weekday
14,13,1,2023-04-07,7,Apr,5,202304,Night,57.85,Weekday
518,70,3,2023-04-08,8,Apr,6,202304,Morning,2495.08,Weekday
274,64,3,2023-04-08,8,Apr,6,202304,Afternoon,1321.13,Weekday
136,58,3,2023-04-08,8,Apr,6,202304,Evening,728.35,Weekday
5,5,1,2023-04-08,8,Apr,6,202304,Night,28.50,Weekday
559,71,3,2023-04-09,9,Apr,0,202304,Morning,2720.00,Weekday
181,59,3,2023-04-09,9,Apr,0,202304,Afternoon,887.93,Weekday
105,56,3,2023-04-09,9,Apr,0,202304,Evening,473.80,Weekday
3,3,1,2023-04-09,9,Apr,0,202304,Night,7.15,Weekday
618,70,3,2023-04-10,10,Apr,1,202304,Morning,2867.75,Weekday
197,64,3,2023-04-10,10,Apr,1,202304,Afternoon,878.55,Weekday
98,49,3,2023-04-10,10,Apr,1,202304,Evening,474.00,Weekday
564,70,3,2023-04-11,11,Apr,2,202304,Morning,2536.38,Weekday
204,57,3,2023-04-11,11,Apr,2,202304,Afternoon,874.78,Weekday
96,50,3,2023-04-11,11,Apr,2,202304,Evening,441.70,Weekday
514,72,3,2023-04-12,12,Apr,3,202304,Morning,2378.68,Weekday
231,65,3,2023-04-12,12,Apr,3,202304,Afternoon,1130.95,Weekday
122,54,3,2023-04-12,12,Apr,3,202304,Evening,530.55,Weekday
577,67,3,2023-04-13,13,Apr,4,202304,Morning,2686.63,Weekday
180,60,3,2023-04-13,13,Apr,4,202304,Afternoon,906.40,Weekday
100,48,3,2023-04-13,13,Apr,4,202304,Evening,462.65,Weekday
13,12,1,2023-04-13,13,Apr,4,202304,Night,58.85,Weekday
549,74,3,2023-04-14,14,Apr,5,202304,Morning,2696.77,Weekday
153,60,3,2023-04-14,14,Apr,5,202304,Afternoon,774.60,Weekday
15,14,1,2023-04-14,14,Apr,5,202304,Night,97.93,Weekday
601,71,3,2023-04-15,15,Apr,6,202304,Morning,2881.46,Weekday
185,60,3,2023-04-15,15,Apr,6,202304,Afternoon,831.08,Weekday
95,48,3,2023-04-15,15,Apr,6,202304,Evening,409.25,Weekday
687,73,3,2023-04-16,16,Apr,0,202304,Morning,3207.84,Weekday
215,61,3,2023-04-16,16,Apr,0,202304,Afternoon,888.90,Weekday
87,40,3,2023-04-16,16,Apr,0,202304,Evening,403.65,Weekday
570,70,3,2023-04-17,17,Apr,1,202304,Morning,3260.80,Weekday
152,57,3,2023-04-17,17,Apr,1,202304,Afternoon,703.35,Weekday
73,42,3,2023-04-17,17,Apr,1,202304,Evening,367.95,Weekday
622,74,3,2023-04-18,18,Apr,2,202304,Morning,2974.04,Weekday
195,61,3,2023-04-18,18,Apr,2,202304,Afternoon,926.38,Weekday
93,51,3,2023-04-18,18,Apr,2,202304,Evening,453.65,Weekday
640,72,3,2023-04-19,19,Apr,3,202304,Morning,3000.31,Weekday
198,58,3,2023-04-19,19,Apr,3,202304,Afternoon,905.40,Weekday
83,45,3,2023-04-19,19,Apr,3,202304,Evening,412.60,Weekday
208,63,3,2023-04-20,20,Apr,4,202304,Afternoon,956.60,Weekday
78,48,3,2023-04-20,20,Apr,4,202304,Evening,355.40,Weekday
11,11,1,2023-04-20,20,Apr,4,202304,Night,80.75,Weekday
529,71,3,2023-04-21,21,Apr,5,202304,Morning,2643.18,Weekday
